PREGUNTA,Parte,Dificultad,OPCION_CORRECTA,TEXTO,Discriminacion,_,__
"Although ________of the lawn is open to the sun, there are ________of shade trees to make it comfortable.",3.0,0.12191003859999999,N,b) many / a lot,1.0,0.0,0.0
"Although ________of the lawn is open to the sun, there are ________of shade trees to make it comfortable.",3.0,0.12191003859999999,S,a) much / plenty,1.0,0.0,0.0
"Although there are _______brilliant students in this state, only _______will remain in the state after graduation.",3.0,1.461718085,N,c) enough / several,1.0,0.0,0.0
"Although there are _______brilliant students in this state, only _______will remain in the state after graduation.",3.0,1.461718085,S,b) many / a few,1.0,0.0,0.0
"Although there are _______brilliant students in this state, only _______will remain in the state after graduation.",3.0,1.461718085,N,a) a lot / a little,1.0,0.0,0.0
Angela and Carlos _____________ at a party when they were in college.,1.0,0.5937246393,N,c) were meeting,1.0,0.0,0.0
Angela and Carlos _____________ at a party when they were in college.,1.0,0.5937246393,S,b) met,1.0,0.0,0.0
Angela and Carlos _____________ at a party when they were in college.,1.0,0.5937246393,N,a) meet,1.0,0.0,0.0
"A: Nice carpet.<br>B: Thanks, I _____________  by professionals.<br>",3.0,2.365773549,N,a) got  it lay,1.0,0.0,0.0
"A: Nice carpet.<br>B: Thanks, I _____________  by professionals.<br>",3.0,2.365773549,S,b) had it laid,1.0,0.0,0.0
"A: Nice carpet.<br>B: Thanks, I _____________  by professionals.<br>",3.0,2.365773549,N,c) made it lay,1.0,0.0,0.0
"A: No, This is Carla. I&#146;m sorry, Jenny isn&#146;t here at the moment.<br><br>B: ____________________________",3.0,-1.219802638,N,c) Could you tell him?,1.0,0.0,0.0
"A: No, This is Carla. I&#146;m sorry, Jenny isn&#146;t here at the moment.<br><br>B: ____________________________",3.0,-1.219802638,S,b) Do you know when she&#146;ll be back?,1.0,0.0,0.0
"A: No, This is Carla. I&#146;m sorry, Jenny isn&#146;t here at the moment.<br><br>B: ____________________________",3.0,-1.219802638,N,a) Can you ask him what his phone number is?,1.0,0.0,0.0
_______________ anyone here who wants to volunteer?,1.0,0.8908140999999999,S,c) Is there,1.0,0.0,0.0
_______________ anyone here who wants to volunteer?,1.0,0.8908140999999999,N,b) Does,1.0,0.0,0.0
_______________ anyone here who wants to volunteer?,1.0,0.8908140999999999,N,a) Is,1.0,0.0,0.0
_______________ any public transportation in Los Angeles?<br><br>,1.0,1.200579512,S,a) Is there,1.0,0.0,0.0
_______________ any public transportation in Los Angeles?<br><br>,1.0,1.200579512,N,b) Are there,1.0,0.0,0.0
_______________ any public transportation in Los Angeles?<br><br>,1.0,1.200579512,N,c) Does it have<br><br>,1.0,0.0,0.0
_______________ any space to park around here?,1.0,2.89401042,N,c) Does it have,1.0,0.0,0.0
_______________ any space to park around here?,1.0,2.89401042,N,b) Are there,1.0,0.0,0.0
_______________ any space to park around here?,1.0,2.89401042,S,a) Is there,1.0,0.0,0.0
"As Yoko __________lunch, Mari and Junko ____________.",2.0,-1.861614299,S,c) was eating/ were studying,1.0,0.0,0.0
"As Yoko __________lunch, Mari and Junko ____________.",2.0,-1.861614299,N,b) were eating / were doing the dishes,1.0,0.0,0.0
"As Yoko __________lunch, Mari and Junko ____________.",2.0,-1.861614299,N,a) was taking a shower / was doing the homework,1.0,0.0,0.0
"At 96 years old, Kirk Douglas ____________________ in any movie this summer.",1.0,1.290275562,N,b) is no working,1.0,0.0,0.0
"At 96 years old, Kirk Douglas ____________________ in any movie this summer.",1.0,1.290275562,S,a) isn&#146;t working,1.0,0.0,0.0
"At 96 years old, Kirk Douglas ____________________ in any movie this summer.",1.0,1.290275562,N,c) not working,1.0,0.0,0.0
A terrible accident _________________ by the nuclear plant.,3.0,1.600115439,S,c) has been caused,1.0,0.0,0.0
A terrible accident _________________ by the nuclear plant.,3.0,1.600115439,N,b) hadn&#146;t caused,1.0,0.0,0.0
A terrible accident _________________ by the nuclear plant.,3.0,1.600115439,N,a) has caused,1.0,0.0,0.0
At five o&#146;clock it __________heavily.,2.0,1.044978347,S,a) was snowing,1.0,0.0,0.0
At five o&#146;clock it __________heavily.,2.0,1.044978347,N,b) snowed,1.0,0.0,0.0
At five o&#146;clock it __________heavily.,2.0,1.044978347,N,c) snowing,1.0,0.0,0.0
A tremendous amount of farmland ________   to relieve overpopulation in cities pretty soon.,3.0,0.2934493679,N,c) will being occupied,1.0,0.0,0.0
A tremendous amount of farmland ________   to relieve overpopulation in cities pretty soon.,3.0,0.2934493679,N,b) was being occupied,1.0,0.0,0.0
A tremendous amount of farmland ________   to relieve overpopulation in cities pretty soon.,3.0,0.2934493679,S,a) will be occupied,1.0,0.0,0.0
"A: We have plenty of money and workers; thus, we hope to finish the house remodelling soon.<br>B:______________________________________________________",3.0,0.25194233039999997,S,b) I can&#146;t wait to move back in.,1.0,0.0,0.0
"A: We have plenty of money and workers; thus, we hope to finish the house remodelling soon.<br>B:______________________________________________________",3.0,0.25194233039999997,N,a) How many more workers will you be needing?,1.0,0.0,0.0
"A: We have plenty of money and workers; thus, we hope to finish the house remodelling soon.<br>B:______________________________________________________",3.0,0.25194233039999997,N,"c) Don&#146;t worry, the loan from the bank will be approved any time soon.",1.0,0.0,0.0
A: What time does the Math class start tomorrow?<br>B: ________ at two-thirty.,1.0,3.9540424730000003,S,c) It&#146;ll start,1.0,0.0,0.0
A: What time does the Math class start tomorrow?<br>B: ________ at two-thirty.,1.0,3.9540424730000003,N,b) It will be going to start.,1.0,0.0,0.0
A: What time does the Math class start tomorrow?<br>B: ________ at two-thirty.,1.0,3.9540424730000003,N,a) It will starting.,1.0,0.0,0.0
"A: Write my name properly, please.<br>B:So  _____ more slowly, please.",1.0,-0.2717669732,S,c) can you spell it,1.0,0.0,0.0
"A: Write my name properly, please.<br>B:So  _____ more slowly, please.",1.0,-0.2717669732,N,b) can spell you it,1.0,0.0,0.0
"A: Write my name properly, please.<br>B:So  _____ more slowly, please.",1.0,-0.2717669732,N,a) you can spell it,1.0,0.0,0.0
"A: Your hair looks awful.<br>B: I know, I have to_______________.<br>",3.0,2.594981883,S,c) get someone to brush it.,1.0,0.0,0.0
"A: Your hair looks awful.<br>B: I know, I have to_______________.<br>",3.0,2.594981883,N,b) have someone brushed it.,1.0,0.0,0.0
"A: Your hair looks awful.<br>B: I know, I have to_______________.<br>",3.0,2.594981883,N,a) get someone brush it.,1.0,0.0,0.0
Bill&#146;s in big trouble. He _______ the previous month&#146;s rent when he _______ out of his apartment. ,3.0,2.326665576,N,c) hadn&#146;t paid . . . had moved,1.0,0.0,0.0
Bill&#146;s in big trouble. He _______ the previous month&#146;s rent when he _______ out of his apartment. ,3.0,2.326665576,N,b) didn&#146;t pay . . . had moved,1.0,0.0,0.0
Bill&#146;s in big trouble. He _______ the previous month&#146;s rent when he _______ out of his apartment. ,3.0,2.326665576,S,a) hadn&#146;t paid . . . moved,1.0,0.0,0.0
Bob _______ in several other states when he _______ to move to California.,3.0,4.18214324,S,c) had worked . . . decided,1.0,0.0,0.0
Bob _______ in several other states when he _______ to move to California.,3.0,4.18214324,N,b) worked . . . decided,1.0,0.0,0.0
Bob _______ in several other states when he _______ to move to California.,3.0,4.18214324,N,a) had worked . . . had decided,1.0,0.0,0.0
"By the time Hussein was overthrown, many Iraqis ___________________________ .",3.0,1.402696502,N,a) had been torture and kidnap,1.0,0.0,0.0
"By the time Hussein was overthrown, many Iraqis ___________________________ .",3.0,1.402696502,N,b) was tortured and disappeared,1.0,0.0,0.0
"By the time Hussein was overthrown, many Iraqis ___________________________ .",3.0,1.402696502,S,c) had been tortured and kidnapped,1.0,0.0,0.0
Can you ask Ann _________________ my sweater yesterday?,3.0,1.791798745,S,c) where she put,1.0,0.0,0.0
Can you ask Ann _________________ my sweater yesterday?,3.0,1.791798745,N,b) where she was putting.,1.0,0.0,0.0
Can you ask Ann _________________ my sweater yesterday?,3.0,1.791798745,N,a) where did she put,1.0,0.0,0.0
Can you ask John ______________________ to the airport?,3.0,0.7599759693000001,N,c) whether he drives me,1.0,0.0,0.0
Can you ask John ______________________ to the airport?,3.0,0.7599759693000001,N,b) whether can he drive me,1.0,0.0,0.0
Can you ask John ______________________ to the airport?,3.0,0.7599759693000001,S,a) if he can drive me,1.0,0.0,0.0
"Can you find your way to the hotel? Yes, I ___.",1.0,0.9073806037000001,S,c) can,1.0,0.0,0.0
"Can you find your way to the hotel? Yes, I ___.",1.0,0.9073806037000001,N,b) find,1.0,0.0,0.0
"Can you find your way to the hotel? Yes, I ___.",1.0,0.9073806037000001,N,a) could,1.0,0.0,0.0
"Can you fix my car today? Yes, I ___. ",1.0,0.2642850149,S,c) can,1.0,0.0,0.0
"Can you fix my car today? Yes, I ___. ",1.0,0.2642850149,N,a) fix,1.0,0.0,0.0
"Can you fix my car today? Yes, I ___. ",1.0,0.2642850149,N,b) can't,1.0,0.0,0.0
Can you tell me _____________  a good hamburger?,3.0,3.341103693,N,c) where are you buying,1.0,0.0,0.0
Can you tell me _____________  a good hamburger?,3.0,3.341103693,S,b) where I can buy,1.0,0.0,0.0
Can you tell me _____________  a good hamburger?,3.0,3.341103693,N,a) where can I buy,1.0,0.0,0.0
Can you tell me what time ____________________ ?,3.0,0.2827216168,S,c) the last bus leaves,1.0,0.0,0.0
Can you tell me what time ____________________ ?,3.0,0.2827216168,N,b) did the last bus leave,1.0,0.0,0.0
Can you tell me what time ____________________ ?,3.0,0.2827216168,N,a) does the last bus leave,1.0,0.0,0.0
Car blast in Baghdad caused _______ casualities.,3.0,1.594731338,N,c) a little,1.0,0.0,0.0
Car blast in Baghdad caused _______ casualities.,3.0,1.594731338,S,b) several,1.0,0.0,0.0
Car blast in Baghdad caused _______ casualities.,3.0,1.594731338,N,a) none,1.0,0.0,0.0
"Carlas&#146;s children, ______.",3.0,-0.6392126263,N,"c) whose graduated from college, came home for her eightieth birthday. ",1.0,0.0,0.0
"Carlas&#146;s children, ______.",3.0,-0.6392126263,N,"b) which graduated from college, came home for her eightieth birthday.",1.0,0.0,0.0
"Carlas&#146;s children, ______.",3.0,-0.6392126263,S,"a) who graduated from college, came home for her eightieth birthday.",1.0,0.0,0.0
"Charlie, Roger and Joe ___________ roommates.",1.0,-1.1735265670000001,S,c) are,1.0,0.0,0.0
"Charlie, Roger and Joe ___________ roommates.",1.0,-1.1735265670000001,N,b) isn&#146;t,1.0,0.0,0.0
"Charlie, Roger and Joe ___________ roommates.",1.0,-1.1735265670000001,N,a) is,1.0,0.0,0.0
Choose that the speaker would say next.<br><br>The baby was sleeping when the phone rang.,2.0,-0.5365968428,N,c) Let's put the telephone next to her crib so that she can continue sleeping.,1.0,0.0,0.0
Choose that the speaker would say next.<br><br>The baby was sleeping when the phone rang.,2.0,-0.5365968428,N,b) I didn't know that telephones could be so comforting.,1.0,0.0,0.0
Choose that the speaker would say next.<br><br>The baby was sleeping when the phone rang.,2.0,-0.5365968428,S,a) She cried so much I had to pick her up.,1.0,0.0,0.0
Choose the best response to the statement.<br><br>Are we required to pass the exam prior to admittance in the program?,3.0,2.438773718,N,c) The admission test was very hard.,1.0,0.0,0.0
Choose the best response to the statement.<br><br>Are we required to pass the exam prior to admittance in the program?,3.0,2.438773718,S,b) That&#146;s the school&#146;s most important requirement.,1.0,0.0,0.0
Choose the best response to the statement.<br><br>Are we required to pass the exam prior to admittance in the program?,3.0,2.438773718,N,"a) No, prior to the test.",1.0,0.0,0.0
"Choose the best response to the statement. <br><br>""By the time you arrived, many decisions had been made.""",3.0,2.2952328769999997,N,"c) ""Great. Let&#146;s get started.""",1.0,0.0,0.0
"Choose the best response to the statement. <br><br>""By the time you arrived, many decisions had been made.""",3.0,2.2952328769999997,S,"b) ""Sorry, I couldn&#146;t make it.""",1.0,0.0,0.0
"Choose the best response to the statement. <br><br>""By the time you arrived, many decisions had been made.""",3.0,2.2952328769999997,N,"a) ""Thank goodness, I arrived on time.""",1.0,0.0,0.0
"Choose the best response to the statement.<br><br>Don&#146;t worry, The winner should be announced any time soon.",3.0,0.5355281971,N,a) I&#146;m glad he won.,1.0,0.0,0.0
"Choose the best response to the statement.<br><br>Don&#146;t worry, The winner should be announced any time soon.",3.0,0.5355281971,S,b) I can&#146;t wait to hear the results.,1.0,0.0,0.0
"Choose the best response to the statement.<br><br>Don&#146;t worry, The winner should be announced any time soon.",3.0,0.5355281971,N,c) Announcing the time of the winner by radio would be more appropriate.,1.0,0.0,0.0
"Choose the best response to the statement.<br><br>I was raised in New York, but  I&#146;m a Los Angeles native.",3.0,-2.501370086,N,c) Raising children in New York  must be hard these days.,1.0,0.0,0.0
"Choose the best response to the statement.<br><br>I was raised in New York, but  I&#146;m a Los Angeles native.",3.0,-2.501370086,S,b) Really? I grew up in N.Y. as well.,1.0,0.0,0.0
"Choose the best response to the statement.<br><br>I was raised in New York, but  I&#146;m a Los Angeles native.",3.0,-2.501370086,N,a) I didn&#146;t know you were born in New York.,1.0,0.0,0.0
Choose the best response to the statement.<br><br>Rain forests and trees in the world are being burned and cut down.,3.0,0.5746694897,N,a) That&#146;s going to change the world into a better place.,1.0,0.0,0.0
Choose the best response to the statement.<br><br>Rain forests and trees in the world are being burned and cut down.,3.0,0.5746694897,S,b) It&#146;s not too late to save them.,1.0,0.0,0.0
Choose the best response to the statement.<br><br>Rain forests and trees in the world are being burned and cut down.,3.0,0.5746694897,N,c) When did that happen?,1.0,0.0,0.0
"Choose the best response to the statement.<br><br>When I was in the army, I got used to following orders.",3.0,0.3745829669,N,c) No wonder you have a problem with authority.,1.0,0.0,0.0
"Choose the best response to the statement.<br><br>When I was in the army, I got used to following orders.",3.0,0.3745829669,S,b) So the new rules won&#146;t be a problem for you.,1.0,0.0,0.0
"Choose the best response to the statement.<br><br>When I was in the army, I got used to following orders.",3.0,0.3745829669,N,a) You&#146;d better get used to it.,1.0,0.0,0.0
Choose the most appropiate response to this statement.<br><br>We&#146;ll never be able to be on time to work. What shall we do?,2.0,-1.581124722,N,c) Could you repeat that please? It&#146;s a bad line and I couldn&#146;t catch what you were saying.,1.0,0.0,0.0
Choose the most appropiate response to this statement.<br><br>We&#146;ll never be able to be on time to work. What shall we do?,2.0,-1.581124722,S,"b) Well, we could phone the boss.",1.0,0.0,0.0
Choose the most appropiate response to this statement.<br><br>We&#146;ll never be able to be on time to work. What shall we do?,2.0,-1.581124722,N,"a) Could you show me again, please?",1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>During the last decade, people have changed their eating habits to healthier ones.",2.0,-2.416132579,N,a) They have been consuming more junk food.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>During the last decade, people have changed their eating habits to healthier ones.",2.0,-2.416132579,N,b) They have completely adopted a sedentary lifestyle.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>During the last decade, people have changed their eating habits to healthier ones.",2.0,-2.416132579,S,c) They have been consumig less fat and complex carbohydrates.,1.0,0.0,0.0
Choose the most appropriate ending to the statement.<br><br>I&#146;ve been living here in Colombia since 1990.,2.0,3.8521908910000002,N,c) But I have been thinking about spending a few days here.,1.0,0.0,0.0
Choose the most appropriate ending to the statement.<br><br>I&#146;ve been living here in Colombia since 1990.,2.0,3.8521908910000002,N,b) But I&#146;ve been abroad all my life.,1.0,0.0,0.0
Choose the most appropriate ending to the statement.<br><br>I&#146;ve been living here in Colombia since 1990.,2.0,3.8521908910000002,S,a) But I&#146;ve only been teaching for 5 years. ,1.0,0.0,0.0
Choose the most appropriate ending to the statement.<br><br>I can smell the food.,1.0,0.8459263639,N,b) Mom is going to do the dishes,1.0,0.0,0.0
Choose the most appropriate ending to the statement.<br><br>I can smell the food.,1.0,0.8459263639,S,c) We&#146;re going to have lunch in a few minutes.,1.0,0.0,0.0
Choose the most appropriate ending to the statement.<br><br>I can smell the food.,1.0,0.8459263639,N,a) I&#146;m going to buy him some talcum powder.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If he doesn&#146;t accept our offer,",2.0,0.0005487020991000001,N,c) he will agree with the price.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If he doesn&#146;t accept our offer,",2.0,0.0005487020991000001,N,b) our offer will be approved.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If he doesn&#146;t accept our offer,",2.0,0.0005487020991000001,S,a) we&#146;ll have to forget about it. That's the most we can afford to pay.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I lost my job,",2.0,1.7325541219999998,N,c) I&#146;d go to lost and found.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I lost my job,",2.0,1.7325541219999998,S,b) I&#146;d have a lot of problems getting another one.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I lost my job,",2.0,1.7325541219999998,N,a) we&#146;d both benefit.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I see you standing around the coffee machine talking again,",2.0,2.9093148060000003,N,c) we&#146;ll have to promote you.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I see you standing around the coffee machine talking again,",2.0,2.9093148060000003,S,b) your job here will be at risk.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I see you standing around the coffee machine talking again,",2.0,2.9093148060000003,N,a) you'll stand around somewhere else.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I spoke Japanese as well as you do,",2.0,3.204733868,N,b) we could ask someone to translate this document.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I spoke Japanese as well as you do,",2.0,3.204733868,S,a) I&#146;d try to find a job with one of the Japanese banks.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I spoke Japanese as well as you do,",2.0,3.204733868,N,c) we wouldn&#146;t to able to travel to Japan.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I were in your position,",2.0,0.13223164939999998,N,c) we would straighten up.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I were in your position,",2.0,0.13223164939999998,S,a) I&#146;d resign rather than wait to be fired.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If I were in your position,",2.0,0.13223164939999998,N,b) you&#146;d walk instead of riding that bus.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If Nick doesn&#146;t pay attention in class,",2.0,1.5570642609999998,N,c) his parents will be very proud of him.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If Nick doesn&#146;t pay attention in class,",2.0,1.5570642609999998,N,a) he will pass the course with honors.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If Nick doesn&#146;t pay attention in class,",2.0,1.5570642609999998,S,b) he won't be able to get good grades.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If sales don&#146;t improve soon,",2.0,1.213438732,N,c) profits might increase.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If sales don&#146;t improve soon,",2.0,1.213438732,N,b) we&#146;ll raise everybody&#146;s salary.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If sales don&#146;t improve soon,",2.0,1.213438732,S,a) we&#146;ll have to lay off some workers.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If the company opened an office in Tokyo,",2.0,2.096547597,N,"c) Jackie, who works for you, is in Japan.",1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If the company opened an office in Tokyo,",2.0,2.096547597,S,b) I&#146;d be interested in working there.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If the company opened an office in Tokyo,",2.0,2.096547597,N,a) you will have to learn Japanese.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If the report isn&#146;t on my desk tomorrow morning,",2.0,1.4571167930000002,S,a) you&#146;ll be in big trouble.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If the report isn&#146;t on my desk tomorrow morning,",2.0,1.4571167930000002,N,c) you&#146;ll be soon managing the department.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If the report isn&#146;t on my desk tomorrow morning,",2.0,1.4571167930000002,N,b) you&#146;ll get a promotion.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If we controlled our expenses a bit better,",2.0,0.7744970229000001,N,c) I would become a compulsive shopper instead.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If we controlled our expenses a bit better,",2.0,0.7744970229000001,N,a) groceries would be less expensive.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If we controlled our expenses a bit better,",2.0,0.7744970229000001,S,b) we&#146;d save a lot of money.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If we spent more on Research and Development,",2.0,2.112264009,N,a) I&#146;d have more budget for Research and Development.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If we spent more on Research and Development,",2.0,2.112264009,N,b) I wouldn&#8217;t do any research.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If we spent more on Research and Development,",2.0,2.112264009,S,c) we wouldn&#146;t be so behind technologically.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If you don&#146;t listen to your parents' advice,",2.0,-0.1727266911,N,b) you'll have to talk to somebody else.,1.0,0.0,0.0
"Choose the most appropriate ending to the statement.<br><br>If you don&#146;t listen to your parents' advice,",2.0,-0.1727266911,N,c) you will talk to the school advisor. ,1.0,0.0,0.0
