,PREGUNTA,Parte,Dificultad,OPCION_CORRECTA,TEXTO,Discriminacion,_,__
252,"Choose the most appropriate ending to the statement.<br><br>Unless you do something really bad,",2.0,-2.176876596,S,a) you don&#146;t have to worry about your job. It&#146;ll be quite safe.,1.0,0.0,0.0
255,Choose the most appropriate ending to this statement.<br><br>John is standing by the bath. The water is running.,1.0,2.242616772,S,c) I think he&#146;s going to take a shower.,1.0,0.0,0.0
258,Choose the most appropriate ending to this statement.<br><br>Look at the lion running after the zebra.,1.0,0.9960207014,S,c) I think it&#146;s going to eat it.,1.0,0.0,0.0
261,Choose the most appropriate ending to this statement.<br><br>The man is walking into the bank with a gun.,1.0,2.801969317,S,a) He&#146;s going to rob it.,1.0,0.0,0.0
264,Choose the most appropriate ending to this statement.<br><br>The plane&#146;s engine is on fire!,1.0,2.103646775,N,a) I think it&#146;s going to leave.,1.0,0.0,0.0
267,Choose the most appropriate response.<br><br>Did you hear the news? Peter was taking a walk last night when he got robbed.,2.0,-0.3734158655,N,b) I never watch the news.,1.0,0.0,0.0
270,Choose the most appropriate response to this question .<br><br>Are there any posters on your bedroom walls?,1.0,0.8202094061,N,c) Lots of people have posters on their walls.,1.0,0.0,0.0
273,Choose the most appropriate response to this question.<br><br>Are there many people at the party?,1.0,0.858881565,N,"c) Yes, take some before they're finished.",1.0,0.0,0.0
276,Choose the most appropriate response to this question.<br><br>Are they nice people?,1.0,1.945369098,N,"c) No, they&#146;re in the living room.",1.0,0.0,0.0
279,Choose the most appropriate response to this question.<br><br>Are you on a diet? You look terrific!,1.0,0.9476768711,N,c) I know! I can&#146;t help eating ice cream.,1.0,0.0,0.0
282,Choose the most appropriate response to this question.<br><br>Are you quite sure you understand what to do?,2.0,1.160664256,N,a) I&#146;m not sure you understand.,1.0,0.0,0.0
285,Choose the most appropriate response to this question.<br><br>Are your friends here tonight?,1.0,1.088959443,N,"a) Yes, they are away on vacation.",1.0,0.0,0.0
288,Choose the most appropriate response to this question.<br><br>Could somebody answer the phone?,1.0,0.5735185264,S,"c) Sure, I&#146;ll get it.",1.0,0.0,0.0
291,Choose the most appropriate response to this question.<br><br>Did you ask Jose Suarez to call back?,1.0,0.17298828510000006,S,"b) Yes, I did. Can you pass me the phone?",1.0,0.0,0.0
294,Choose the most appropriate response to this question.<br><br>Does John often have pancakes for breakfast?,1.0,3.8044056,N,"c) Yes, He loves it, especially barbecued or baked.",1.0,0.0,0.0
297,Choose the most appropriate response to this question.<br><br>Does Richard know if Mary's coming?,1.0,2.44543094,N,c) I don't know if he's coming or not.,1.0,0.0,0.0
300,Choose the most appropriate response to this question.<br><br>Do you know if you got the job?,1.0,1.953414027,N,c) I&#146;ll probably tell him tomorrow. ,1.0,0.0,0.0
303,Choose the most appropriate response to this question.<br><br>Do you mind taking a picture of me and my fiancé?,2.0,-0.3892465999000001,N,"c) Of course, but make up your mind, the pictures or my girlfriend.",1.0,0.0,0.0
306,Choose the most appropriate response to this question.<br><br>Do you recall going to the prom back in high school?,2.0,-0.1394260762,S,a) how will I ever forget?  I was the queen.,1.0,0.0,0.0
309,Choose the most appropriate response to this question.<br><br>Harry called? Why didn&squo;t you tell me?,1.0,-0.1087798424,N,c) I&#146;m sorry. I didn&#146;t know it was confidential.,1.0,0.0,0.0
312,Choose the most appropriate response to this question.<br><br>How did you get to work this morning?,1.0,2.840941842,N,c) I worked from 9:00 a.m. 5:00 p.m.,1.0,0.0,0.0
315,Choose the most appropriate response to this question.<br><br>How does this coffee machine work?,1.0,1.852230242,N,b) Take it to the repair shop.,1.0,0.0,0.0
318,Choose the most appropriate response to this question<br><br>How do you open this door?,1.0,1.20883874,S,b) Push really hard.,1.0,0.0,0.0
321,Choose the most appropriate response to this question.<br><br>How long did he stay?,1.0,1.34592186,N,c) He stayed at the hotel on Main Street.,1.0,0.0,0.0
324,Choose the most appropriate response to this question.<br><br>How often do you wash the dishes after dinner?,1.0,1.108380332,N,c) Of course! I love doing the dishes.<br>,1.0,0.0,0.0
327,Choose the most appropriate response to this question.<br><br>I&#146;m not happy with the work Michael is producing.,1.0,2.229209668,S,c)I´ll talk to him about it.,1.0,0.0,0.0
330,Choose the most appropriate response to this question.<br><br>I have been waiting for you for the last two hours! Where have you been?,2.0,0.6359220281,N,b) I'm at the library. I've been reading a film review.,1.0,0.0,0.0
333,Choose the most appropriate response to this question.<br><br>I'm here in college. Where are you?   ,1.0,-3.682106924,S,b) I&#146;m right next to you.,1.0,0.0,0.0
336,Choose the most appropriate response to this question.<br><br>Is it true that the bride was stood up?,3.0,0.3922612451,S,"c) Yeah, That guy must have changed his mind the last minute.",1.0,0.0,0.0
339,Choose the most appropriate response to this question.<br><br>Is Michelle at home now?,1.0,3.55544585,N,"b)Yes, they are. Let me call them.",1.0,0.0,0.0
342,"Choose the most appropriate response to this question<br><br>Is the music disturbing you, Mr. Dylan?",1.0,-0.9065315498,N,"c) Yes, throw it in the garbage please.",1.0,0.0,0.0
345,Choose the most appropriate response to this question .<br><br>Is there any coffee left?,1.0,1.340754521,N,"c) Yes, it left at 3:00 p.m.",1.0,0.0,0.0
348,Choose the most appropriate response to this question.<br><br>Is there any space in the parking lot?,1.0,1.56081297,N,"a) Yes, there are a lot of parks and cars in the city.",1.0,0.0,0.0
351,"Choose the most appropriate response to this question.<br><br>I was offered a job in Indonesia, but I'm confused. Should I take it?",1.0,1.48987209,N,"c) Well, I think they should offer you a job there.",1.0,0.0,0.0
354,Choose the most appropriate response to this question.<br><br>My car&#146;s broken down. Can you help?,1.0,1.953251184,N,"c)No, thanks, I think I'll take the bus.",1.0,0.0,0.0
357,Choose the most appropriate response to this question.<br><br>What time did the meeting finish?,1.0,1.609839816,N,c) He didn&#146;t say exactly but he said it would be late afternoon.,1.0,0.0,0.0
360,Choose the most appropriate response to this question.<br><br>What time did you get up this morning?,1.0,-0.10131356,N,c) It was time to have breakfast and go to work.,1.0,0.0,0.0
363,Choose the most appropriate response to this question.<br><br>What time will they arrive?,1.0,4.182893424,N,c) It is 2:00 PM.,1.0,0.0,0.0
366,Choose the most appropriate response to this question.<br><br>What time will you come back to the office?,1.0,-1.412510937,N,c) I think I&#146;ll take a siesta.,1.0,0.0,0.0
369,Choose the most appropriate response to this question.<br><br>What will you do after work?,1.0,-1.774752,N,c) I´ll type this document before living.,1.0,0.0,0.0
372,Choose the most appropriate response to this question.<br><br>When did she arrive?,1.0,4.374236818,S,"c) On Tuesday, I think.",1.0,0.0,0.0
375,Choose the most appropriate response to this question.<br><br>Where are you going next weekend?,1.0,-0.6130064647,N,"c) Yes, I&#146;ll put my feet up and read a good book.",1.0,0.0,0.0
378,Choose the most appropriate response to this question.<br><br>Where did you buy that  computer?,1.0,1.1843950559999998,N,c) We bought it like two years ago.,1.0,0.0,0.0
381,Choose the most appropriate response to this question.<br><br>Where did you stay the last time you went to London?,1.0,0.5632173908,N,c) At least fifteen minutes.,1.0,0.0,0.0
384,Choose the most appropriate response to this question.<br><br>Where's the book I lent you?,1.0,2.5459776030000003,N,"c)No, it isn&#146;t.",1.0,0.0,0.0
387,Choose the most appropriate response to this question.<br><br>Which train do you think I should take?,1.0,3.193266228,N,c) Buy the most convenient.,1.0,0.0,0.0
390,Choose the most appropriate response to this question<br><br>Who can I talk to about the new product?,1.0,2.267576359,N,"c) Yes, I love to talk about the new product.",1.0,0.0,0.0
393,Choose the most appropriate response to this question.<br><br>Why did you tell him that?,1.0,3.642553274,N,c) He wanted me to spell it for him.,1.0,0.0,0.0
396,Choose the most appropriate response to this question.<br><br>Will you get married one day?,1.0,3.122826287,N,c) People get married every day.,1.0,0.0,0.0
399,Choose the most appropriate response to this question.<br><br>You are totally lost!,1.0,0.1889167103,N,b) That&#146;s what you should do.,1.0,0.0,0.0
402,Choose the most appropriate response to this sentence.<br><br>Do you think the company's annual report was the most informative to date?,2.0,0.9075859252,N,c) How much information will we need for the report?,1.0,0.0,0.0
405,Choose the most appropriate response to this sentence.<br><br>Edward is the better of the  twins at geometry.,2.0,-0.4324935067,N,c) That&#146;s incorrect! He is the best of the twins.,1.0,0.0,0.0
408,Choose the most appropriate response to this sentence.<br><br>I'm not sure whether the Magdalena is as long as the Danube.,2.0,0.8651014129000001,S,"a) Keep studying your geography, you&#146;ll discover amazing answers to questions like that one.",1.0,0.0,0.0
411,Choose the most appropriate response to this statement .<br><br>Andrew needs to speak German by the end of the year.,1.0,-0.9609003824,N,c) He should invite his German friend to stay after Christmas.,1.0,0.0,0.0
414,Choose the most appropriate response to this statement.<br><br><br>What happened here? This is awful!,2.0,1.870569047,S,c) Someone has broken in!,1.0,0.0,0.0
417,Choose the most appropriate response to this statement .<br><br>Camberra  is one of the most important cities of Australia.,1.0,-0.02153557671,S,b) Is it? ,1.0,0.0,0.0
420,Choose the most appropriate response to this statement.<br><br>Can you cook?,1.0,-0.6079525272,S,"c) Not very well, only fast food.",1.0,0.0,0.0
423,Choose the most appropriate response to this statement.<br><br>Can you play tennis?,1.0,1.06354992,N,a) I love those kinds of shoes.,1.0,0.0,0.0
426,Choose the most appropriate response to this statement.<br><br>Can you ride a bike?,1.0,-0.02831093937,N,"c) Of course, I'm an excellent runner.",1.0,0.0,0.0
429,Choose the most appropriate response to this statement.<br><br>Can you ski?,1.0,2.181577738,S,"c) No, I tried once, but I broke my leg.",1.0,0.0,0.0
432,Choose the most appropriate response to this statement.<br><br>Can you speak French?,1.0,1.606182336,S,"c) Yes, but I use it only when I travel.",1.0,0.0,0.0
435,Choose the most appropriate response to this statement.<br><br>Can you swim?,1.0,2.437034741,N,"c) Only in the shower, but not very well.",1.0,0.0,0.0
438,Choose the most appropriate response to this statement.<br><br>Can you understand the instructions she is giving?,1.0,3.370522728,S,"a) No, she&#146;s really unclear.",1.0,0.0,0.0
441,Choose the most appropriate response to this statement.<br><br>Ellen should be here at the arrivals lounge by now.,2.0,0.3704983574,S,c) Her plane must be late.,1.0,0.0,0.0
444,Choose the most appropriate response to this statement.<br><br>Everybody  likes chatting today. Too bad I don&#146;t own a computer. ,1.0,-0.2082205951,N,c) You shouldn&#146;t spend so much time in those chat rooms.,1.0,0.0,0.0
447,Choose the most appropriate response to this statement.<br><br>Everyone at the party is having fun.      ,1.0,0.6819796721,S,c) You are right. Everybody is laughing and dancing.,1.0,0.0,0.0
450,Choose the most appropriate response to this statement.<br><br>Few people came to see the game.,3.0,0.4373751993,N,c) No wonder! That&#146;s why I couldn&#146;t get a ticket.,1.0,0.0,0.0
453,Choose the most appropriate response to this statement.<br><br>Gosh! I really miss those old childhood days ...,3.0,-1.228506647,N,c) Why? When did you use to do it?,1.0,0.0,0.0
456,Choose the most appropriate response to this statement.<br><br>Harry doesn&#146;t feel he has got a future with the company. ,1.0,1.6555609919999998,S,a) He shouldn't worry. He's a very good employee.,1.0,0.0,0.0
459,Choose the most appropriate response to this statement.<br><br>Have you had lunch already?,2.0,1.56831771,N,"c) Yes, the groceries are in the fridge. Let&#146;s start cooking.",1.0,0.0,0.0
462,"Choose the most appropriate response to this statement.<br><br>He&#146;s too young to vote, but old enough to go to war.",3.0,-1.7974244330000002,N,b) That&#146;s why he will vote before joining the army.,1.0,0.0,0.0
465,Choose the most appropriate response to this statement.<br><br>He has very little patience with children.,3.0,2.07571594,S,c) I don&#146;t think he should be teaching kids. ,1.0,0.0,0.0
468,"Choose the most appropriate response to this statement.<br><br>He is from Texas, in  the South.",1.0,0.4745205597,N,"c) No, she&#146;s American.<br>",1.0,0.0,0.0
471,"Choose the most appropriate response to this statement.<br><br>Hey mom, I&#146;m leaving!",1.0,0.9175958978,N,b) Please wash your hands before sitting at the table.,1.0,0.0,0.0
474,Choose the most appropriate response to this statement.<br><br>I&#146;m really worried about my future.,1.0,0.7203512051000001,N,"c) No, thanks. I don&#146;t want to know about my future.",1.0,0.0,0.0
477,Choose the most appropriate response to this statement.<br><br>I&#146;m sorry! The traffic was a complete mess.,3.0,0.9713058171,N,c) You should have told me you were going to be here early.,1.0,0.0,0.0
480,Choose the most appropriate response to this statement .<br><br>I&#146;m tired of my job.,1.0,0.9654539597,S,c) You should look in the Sunday Times. They always have lots of job ads,1.0,0.0,0.0
483,Choose the most appropriate response to this statement.<br><br>I can&#146;t go out because I have a lot of work.,1.0,-0.6634217427,N,c)I know. I can work very hard too.,1.0,0.0,0.0
486,Choose the most appropriate response to this statement.<br><br>I can&#146;t use office machines very well.,1.0,1.27480134,N,"c) Yes, you&#146;re very good at using them.",1.0,0.0,0.0
489,Choose the most appropriate response to this statement.<br><br>I could barely recognize John yesterday. He looked awful!,3.0,0.7103569285,S,c) He may have had a terrible day.,1.0,0.0,0.0
492,Choose the most appropriate response to this statement.<br><br>I don&#146;t know why those Japanese were so upset during dinner.,3.0,2.473580245,N,c) Eating Sushi must have made me feel upset too.,1.0,0.0,0.0
495,Choose the most appropriate response to this statement.<br><br>I don&#146;t think I&#146;ll pass. I definitely flunked it.,3.0,1.265194385,N,c) That doesn&#146;t surprise me. I knew you&#146;d make it.,1.0,0.0,0.0
498,"Choose the most appropriate response to this statement.<br><br>I got this surprise birthday present, but it doesn&#146;t have a card.",2.0,5.187483374,N,c) I knew it was mark.,1.0,0.0,0.0
501,Choose the most appropriate response to this statement.<br><br>I'm starving. I haven&#146;t had a bite of anything in the entire morning.,2.0,1.375375543,S,"a) He&#146;s been working so hard, he hasn&#146;t had a minute to eat.",1.0,0.0,0.0
504,Choose the most appropriate response to this statement.<br><br>I recommend having the day special.,2.0,-0.1053723166,N,c) Thanks for recommending me.,1.0,0.0,0.0
507,Choose the most appropriate response to this statement.<br><br>It&#146;s a nice atmosphere. I see many people here are enjoying the festival.,1.0,0.08090033827000001,N,c) You are right. The festival is very hot.,1.0,0.0,0.0
510,"Choose the most appropriate response to this statement.<br><br>I told him to clean his room, but it went in one ear and out the other.",3.0,-0.5770498022,N,c) You could&#146;ve told him to stop right away.,1.0,0.0,0.0
513,Choose the most appropriate response to this statement.<br><br>I wonder why she hit the road so early.,3.0,2.045559023,N,c) She might&#146;ve wanted to stay a little more.,1.0,0.0,0.0
516,Choose the most appropriate response to this statement.<br><br>I would never eat chocolate after going to the dentist. My mother used to scold me for doing so.,2.0,0.7275887845000001,N,a) No wonder you have such rotten teeth.,1.0,0.0,0.0
519,"Choose the most appropriate response to this statement.<br><br>Janet won&#146;t be at the meeting, but she will send somebody else.",2.0,0.7554364557,S,c) It must be Sally. She always goes on behalf of Janet.,1.0,0.0,0.0
522,Choose the most appropriate response to this statement.<br><br>Jeremy should make his classes more interesting.,1.0,-0.9752494294,N,a) He should really talk to a psychologist about his depression.,1.0,0.0,0.0
525,Choose the most appropriate response to this statement.<br><br>Look at all the paparazzi next to that red car. ,1.0,1.063365127,S,b) I don&#146;t think the guy inside is having fun.,1.0,0.0,0.0
528,Choose the most appropriate response to this statement.<br><br>Look at that parade! The marching band are playing so well.,1.0,-0.5636231322999999,N,a)When's the parade?,1.0,0.0,0.0
531,Choose the most appropriate response to this statement.<br><br>Look! That guy is climbing up onto the statue.,1.0,1.45244129,N,c) Interesting! But I don&#146;t like the statue.,1.0,0.0,0.0
534,Choose the most appropriate response to this statement.<br><br>Sorry about that. I didn&#146;t see where I was going.,2.0,1.059776456,S,c) You could be more careful next time. You can break it very easily.,1.0,0.0,0.0
537,Choose the most appropriate response to this statement.<br><br>The bride is extremely nervous. What could the matter be?,2.0,1.117699788,S,a) She&#146;s been waiting for the groom for at least ten minutes.,1.0,0.0,0.0
